time, node_id, port_id, bandwidth
600000, 0, 1, 550.318080
600000, 0, 2, 86.400000
600000, 1, 1, 541.256640
600000, 1, 2, 84.942080
600000, 2, 1, 552.152320
600000, 2, 2, 84.932480
600000, 3, 1, 581.310400
600000, 3, 2, 84.961280
600000, 4, 1, 541.877760
600000, 4, 2, 84.951680
600000, 5, 1, 541.628160
600000, 5, 2, 84.956480
600000, 6, 1, 531.080000
600000, 6, 2, 84.946880
600000, 7, 1, 541.556160
600000, 7, 2, 84.942080
600000, 8, 1, 544.767040
600000, 8, 2, 86.400000
600000, 9, 1, 541.218240
600000, 9, 2, 84.942080
600000, 10, 1, 552.152320
600000, 10, 2, 84.932480
600000, 11, 1, 581.310400
600000, 11, 2, 84.961280
600000, 12, 1, 539.290560
600000, 12, 2, 84.951680
600000, 13, 1, 541.589760
600000, 13, 2, 84.951680
600000, 14, 1, 531.080000
600000, 14, 2, 84.942080
600000, 15, 1, 531.008000
600000, 15, 2, 84.946880
600000, 16, 1, 541.661760
600000, 16, 2, 548.836160
600000, 16, 3, 539.841920
600000, 16, 4, 552.421120
600000, 16, 5, 579.790080
600000, 16, 6, 541.628160
600000, 16, 7, 541.556160
600000, 16, 8, 531.080000
600000, 17, 1, 531.075200
600000, 17, 2, 543.357120
600000, 17, 3, 539.841920
600000, 17, 4, 552.416320
600000, 17, 5, 579.746880
600000, 17, 6, 537.597440
600000, 17, 7, 541.556160
600000, 17, 8, 531.008000
600000, 18, 1, 84.903680
600000, 18, 2, 84.903680
600000, 18, 3, 10.548160
600000, 18, 12, 10.548160
600000, 18, 13, 0.048000
600000, 18, 15, 10.548160
600000, 18, 18, 10.620160
600000, 18, 21, 10.692160
600000, 18, 22, 0.072000
600000, 18, 23, 0.072000
600000, 18, 24, 0.072000
600000, 18, 25, 10.548160
600000, 18, 31, 10.672960
600000, 18, 37, 31.644480
600000, 18, 41, 10.548160
600000, 18, 43, 10.548160
600000, 18, 47, 0.072000
600000, 18, 48, 0.072000
600000, 18, 50, 10.620160
600000, 18, 51, 0.072000
600000, 18, 54, 0.072000
600000, 18, 59, 10.548160
600000, 18, 60, 21.096320
600000, 18, 63, 0.072000
600000, 18, 64, 0.072000
600000, 19, 1, 84.889280
600000, 19, 2, 84.889280
600000, 19, 8, 10.548160
600000, 19, 9, 10.620160
600000, 19, 11, 0.072000
600000, 19, 13, 0.072000
600000, 19, 16, 10.586560
600000, 19, 18, 10.620160
600000, 19, 20, 10.692160
600000, 19, 21, 21.096320
600000, 19, 23, 10.620160
600000, 19, 24, 10.548160
600000, 19, 30, 0.072000
600000, 19, 34, 10.548160
600000, 19, 35, 21.096320
600000, 19, 36, 10.548160
600000, 19, 38, 10.548160
600000, 19, 39, 0.072000
600000, 19, 43, 0.072000
600000, 19, 46, 0.072000
600000, 19, 47, 0.038400
600000, 19, 50, 0.072000
600000, 19, 52, 0.072000
600000, 19, 54, 0.072000
600000, 19, 63, 21.096320
600000, 20, 1, 83.803200
600000, 20, 2, 83.803200
600000, 20, 3, 0.072000
600000, 20, 5, 0.072000
600000, 20, 6, 10.620160
600000, 20, 11, 10.692160
600000, 20, 13, 10.548160
600000, 20, 15, 0.033600
600000, 20, 21, 10.548160
600000, 20, 27, 0.072000
